result,pos_value_asent,neg_value_asent,probability,estimated_sentiment_flair,estimated_sentiment_textblob,compound_value_asent,neu_value_asent,estimated_subjectivity_textblob
NEGATIVE,0,0,0.632590652,NEGATIVE,0,0,0,0
POSITIVE,0.355644682,0,0.501427948,NEGATIVE,0.3,0.391350668,0.244355318,0.51875
NEUTRAL,0.151969653,0.061111111,0.725291371,NEGATIVE,0.358333333,0.148769711,0.386919236,0.733333333
POSITIVE,0.426470588,0,0.862095058,NEGATIVE,0.361111111,0.350174646,0.073529412,0.488888889
NEUTRAL,0.037837838,0.036065574,0.873728335,NEGATIVE,0.108333333,0.025101088,0.326096588,0.641666667
NEGATIVE,0.088803089,0,0.874487042,NEGATIVE,0.120138889,0.695608344,0.911196911,0.558333333
POSITIVE,0.120506451,0,0.856277585,NEGATIVE,0.4875,0.270626464,0.379493549,0.65
POSITIVE,0.196969697,0,0.693105161,NEGATIVE,0.260416667,0.378968364,0.303030303,0.541666667
POSITIVE,0.166555481,0,0.679144025,NEGATIVE,0.1046875,0.239241628,0.166777852,0.3
POSITIVE,0.285714286,0,0.71932584,NEGATIVE,0,0.339950052,0.714285714,0
POSITIVE,0.266055046,0,0.748947263,NEGATIVE,0.7,0.440433571,0.733944954,0.6
NEUTRAL,0.043946932,0,0.617581844,NEGATIVE,0.05,0.324278323,0.456053068,0.2
NEUTRAL,0.176470588,0,0.81044817,POSITIVE,-0.0625,0.359210604,0.323529412,0.6
POSITIVE,0.764369595,0,0.827899158,POSITIVE,0,0.757065242,0.235630405,0
POSITIVE,0,0,0.820009172,NEGATIVE,0,0,0,0
POSITIVE,0,0,0.626213014,NEGATIVE,-0.25,0,0,0.85
POSITIVE,0,0,0.770710826,NEGATIVE,0.1,0,0,0.4
NEUTRAL,0.104316547,0,0.562571108,NEGATIVE,0.4375,0.220216785,0.395683453,0.541666667
NEUTRAL,0.126953864,0.033223851,0.858427882,NEGATIVE,0.08047619,0.228056625,0.839822285,0.390238095
NEUTRAL,0.041940704,0.067283282,0.671630323,NEGATIVE,0.091904762,-0.528956281,0.890776014,0.273809524
NEGATIVE,0.201526325,0.0913618,0.87142545,NEGATIVE,0.143020833,0.139812334,0.616202784,0.536458333
NEGATIVE,0,0,0.89873153,POSITIVE,0.7,0,0,0.6
NEUTRAL,0.037974684,0.03630363,0.663563073,POSITIVE,0.145833333,-0.03122316,0.592388353,0.458333333
NEGATIVE,0.157534247,0.087628866,0.739006519,POSITIVE,-0.1,0.070176718,0.754836887,0.4
NEGATIVE,0.142857143,0,0.566484809,NEGATIVE,-0.1125,0.04267896,0.19047619,0.875
NEUTRAL,0,0,0.729470432,NEGATIVE,0.008333333,0,0,0.391666667
NEUTRAL,0,0.319148936,0.822155237,POSITIVE,0.7,-0.411764706,0.680851064,0.6
POSITIVE,0,0,0.504134476,POSITIVE,0,0,0,0
POSITIVE,0.208633094,0,0.889674723,NEGATIVE,0.7,0.440433571,0.791366906,0.6
NEGATIVE,0.325842697,0,0.580349326,NEGATIVE,0.5,0.440433571,0.674157303,0.5
NEUTRAL,0.110607568,0.035947712,0.821143627,NEGATIVE,0.066666667,0.109180409,0.35344472,0.373333333
POSITIVE,0,0,0.684903085,NEGATIVE,0.13,0,0,0.18
NEUTRAL,0.366305147,0,0.897299588,NEGATIVE,0.416666667,0.304729549,0.300361519,0.766666667
NEUTRAL,0.252503617,0,0.885134757,NEGATIVE,0.475,0.553806249,0.747496383,0.583333333
NEUTRAL,0.24137931,0,0.855767012,NEGATIVE,0,0.210731808,0.25862069,0.3
NEUTRAL,0,0,0.614622951,NEGATIVE,0,0,0,0
NEUTRAL,0.197816054,0.250682483,0.526006818,NEGATIVE,0.475,-0.01405754,0.551501463,0.833333333
POSITIVE,0.191919192,0,0.873882532,NEGATIVE,0.15,0.226347955,0.808080808,0.2
NEUTRAL,0.210144928,0.098214286,0.570779026,NEGATIVE,0.233333333,0.072237698,0.691640787,0.633333333
POSITIVE,0.457069728,0,0.508463979,NEGATIVE,0.78,0.708926979,0.542930272,1
POSITIVE,0,0,0.639263928,POSITIVE,0.13,0,0,0.52
NEUTRAL,0.125175148,0,0.825749934,NEGATIVE,0.383333333,0.442804958,0.874824852,0.641666667
NEUTRAL,0.088772342,0,0.896606445,NEGATIVE,0.143269231,0.184412411,0.355672102,0.415384615
NEUTRAL,0.176252624,0,0.584384561,NEGATIVE,0.375,0.487106359,0.823747376,0.4
NEGATIVE,0,0,0.50222671,NEGATIVE,0.6,0,0,1
NEUTRAL,0,0.107633315,0.510692835,POSITIVE,0.288888889,-0.127047403,0.392366685,0.463888889
NEUTRAL,0.074542897,0,0.513931394,NEGATIVE,0.275,0.255561675,0.258790436,0.479166667
NEUTRAL,0.142879482,0.049709806,0.7246176,NEGATIVE,0.014,0.061210349,0.521696426,0.271666667
NEUTRAL,0.233707649,0.072847682,0.820422888,NEGATIVE,0.4,0.202102758,0.693444668,0.366666667
POSITIVE,0.537037037,0,0.596001148,NEGATIVE,0.7,0.700349292,0.462962963,0.6
NEUTRAL,0.064741368,0.023395444,0.809150755,NEGATIVE,0.096354167,0.03591603,0.411863188,0.591666667
NEGATIVE,0.583333333,0,0.517730176,NEGATIVE,0.65,0.790569415,0.416666667,0.625
NEUTRAL,0.238089095,0.054686365,0.551359236,NEGATIVE,0.278148148,0.330814355,0.70722454,0.681481481
