,id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,price,minimum_months,maximum_months,distance_to_mrt,closest_mrt_name,closest_mrt_stop_id,closest_mall_distance,closest_mall_name,closest_mall_address,conditioning,BBQ,gym,pool,dryer,Wifi,kitchen,Backyard,TV,refrigerator,Microwave,Oven,Pets,stove,fan,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,distance,cost,similarity_score
1717,42910492,Serangoon,North-East Region,1.35582,103.86405,1800,3,37,0.4680269986909187,LORONG CHUAN MRT STATION,CC14,1.014140243187984,Thai Dynasty Cuisine @Nex Food Junction,"23 Serangoon Central, #04-36/37 Nex, Singapore 556083",1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0.8074617999726231,-0.17691364445284574,0.7793904632729107
1710,42829911,Serangoon,North-East Region,1.3556,103.86376,1800,3,37,0.4455619061421172,LORONG CHUAN MRT STATION,CC14,1.0289543475007314,Thai Dynasty Cuisine @Nex Food Junction,"23 Serangoon Central, #04-36/37 Nex, Singapore 556083",1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0.8391812064633837,-0.17393472599369114,0.7766573467953409
1275,35744548,Serangoon,North-East Region,1.35731,103.86381,1800,3,37,0.6347095405554599,LORONG CHUAN MRT STATION,CC14,0.876736055411781,myVillage,"1 Maju Ave, Singapore",0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0.6558274474390603,-0.0916004365036105,0.7107472627865373
592,19490734,Ang Mo Kio,North-East Region,1.368,103.85688,1470,6,37,0.7866492503769854,ANG MO KIO MRT STATION,NS16,0.6759822845028571,Cheng San Centre,"532 Ang Mo Kio Ave 10, Singapore 560532",1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1.1385764586503189,-0.06939600009368552,0.6602877108058269
3256,899732642408799379,Serangoon,North-East Region,1.383397365221802,103.86136663685872,2250,3,5,1.8343198905788567,YIO CHU KANG MRT STATION,NS15,0.9970041876112958,Greenwich V,"1 Seletar Rd, Singapore",1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,2.3328820540134987,-0.043183629586778904,0.6849791564853124
18,733863,Serangoon,North-East Region,1.36926,103.87312,780,6,12,1.668152923694881,KOVAN MRT STATION,NE13,0.9953603178912888,myVillage,"1 Maju Ave, Singapore",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0837394847284274,-0.019007792540942314,0.5628287511843157
93,4712676,Ang Mo Kio,North-East Region,1.36747,103.83865,1650,3,37,1.271508642763405,ANG MO KIO MRT STATION,NS16,0.9568433508531796,Broadway Plaza,"4190 Ang Mo Kio Ave 6, Singapore 569841",1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,3.05545619452118,-0.008511312744448607,0.5977315939493879
373,14131949,Serangoon,North-East Region,1.36464,103.86352,4440,3,37,1.450332621013189,LORONG CHUAN MRT STATION,CC14,0.1935834127120339,myVillage,"1 Maju Ave, Singapore",1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0.31583437064918546,0.004582918720365509,0.8500526624137643
1086,32205289,Hougang,North-East Region,1.3672,103.89748,1200,3,37,0.7269208426599896,HOUGANG MRT STATION,NE14,0.4259721038607099,The Midtown,"1187 Upper Serangoon Rd, Singapore 533971",1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,3.5597731107144224,0.00479738150880199,0.544699987105258
2192,53280269,Serangoon,North-East Region,1.356,103.86437,3000,3,12,0.4885070274339694,LORONG CHUAN MRT STATION,CC14,0.995476194471907,Thai Dynasty Cuisine @Nex Food Junction,"23 Serangoon Central, #04-36/37 Nex, Singapore 556083",0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0.7802503561361545,0.015631303874208635,0.7208290316878764
