date,day,holiday
2020-01-01,Wednesday,New Year's Day
2020-01-25,Saturday,Chinese New Year
2020-01-26,Sunday,Chinese New Year
2020-04-10,Friday,Good Friday
2020-05-01,Friday,Labour Day
2020-05-07,Thursday,Vesak Day
2020-05-24,Sunday,Hari Raya Puasa
2020-07-10,Friday,Polling Day
2020-07-31,Friday,Hari Raya Haji
2020-08-09,Sunday,National Day
2020-11-14,Saturday,Deepavali
2020-12-25,Friday,Christmas Day
2021-01-01,Friday,New Year's Day
2021-02-12,Friday,Chinese New Year
2021-02-13,Saturday,Chinese New Year
2021-04-02,Friday,Good Friday
2021-05-01,Saturday,Labour Day
2021-05-13,Thursday,Hari Raya Puasa
2021-05-26,Wednesday,Vesak Day
2021-07-20,Tuesday,Hari Raya Haji
2021-08-09,Monday,National Day
2021-11-04,Thursday,Deepavali
2021-12-25,Saturday,Christmas Day
2022-01-01,Saturday,New Year's Day
2022-02-01,Tuesday,Chinese New Year
2022-02-02,Wednesday,Chinese New Year
2022-04-15,Friday,Good Friday
2022-05-01,Sunday,Labour Day
2022-05-03,Tuesday,Hari Raya Puasa
2022-05-15,Sunday,Vesak Day
2022-07-10,Sunday,Hari Raya Haji
2022-08-09,Tuesday,National Day
2022-10-24,Monday,Deepavali
2022-12-25,Sunday,Christmas Day
2023-01-01,Sunday,New Year's Day
2023-01-22,Sunday,Chinese New Year
2023-01-23,Monday,Chinese New Year
2023-04-07,Friday,Good Friday
2023-04-22,Saturday,Hari Raya Puasa
2023-05-01,Monday,Labour Day
2023-06-02,Friday,Vesak Day
2023-06-29,Thursday,Hari Raya Haji
2023-08-09,Wednesday,National Day
2023-09-01,Friday,Polling Day
2023-11-12,Sunday,Deepavali
2023-12-25,Monday,Christmas Day
